pharmacy|药房；配药学，药剂学；制药业；一批备用药品
astute|机敏的； 狡猾的
humdrum|单调的
dignity|高贵， 体面； 可敬的品格
wile|诡计， 阴谋， 欺骗
emit|发出， 放射； 吐露； 散发； 发表， 发行
celibacy|独身生活； 禁欲
ebullient|沸腾的； 热情洋溢的
votary|信徒； 崇拜者
almanac|历书； 年鉴
numerous|众多的， 许多的， 大批的
accouter|装备， 配备
encumber|阻碍
remote|偏远的， 偏僻的； 关系疏远的
assassin|暗杀者； 刺客
conjugation|结合； 配合
befog|罩入雾中； 使朦胧； 使迷惑
rupture|破裂， 裂开； 断绝
antemeridian|上午的
stratagem|计策， 计谋， 策略
carcass|畜体
paragon|模范
collusion|共谋， 勾结
pellucid|透明的， 澄清的； 易懂的
fluctuate|使波动， 使起伏
presentient|有预感的
persistent|坚持的， 百折不挠的； 持续的
everlasting|永恒的； 无止境的
possess|占有， 拥有
neutral|中立的； 中性的， 中和的
coup|出乎意料的行动
analysis|分解
apparent|明显的， 显而易见的； 表面的； 貌似的
dissension|意见分歧， 冲突
exposure|暴露， 揭露； 受到
assonate|音相谐，  成为准押韵
placate|安抚
presumption|假定
humble|谦卑的，恭顺的；低下的，卑贱的；粗陋的 v.  降低， 贬抑
commodity|商品， 物品
airy|空气的； 空中的， 通风的； 轻快的
poise|平衡， 均衡； 姿势； 镇静
independent|独立的， 自主的
elocution|演说； 演说术
urbane|有礼貌的， 文雅的
alleged|无根据的， 声称的； 所谓的
minuscule|极小的
plausible|似乎合理的， 似乎可信的
deluge|使泛滥； 淹， 浸； 压倒
cerebellum|小脑
revile|辱骂， 斥责
indulgent|纵容的
mundane|世界的， 世俗的； 平凡的
insidious|阴险的
alkali|碱， 强碱
fortuitous|偶然的， 意外的
slothful|偷懒的
antiquarian|古文物研究者， 收集古文物者
fervent|热心的， 热烈的， 强烈的
deceitful|欺诈的
pervert|使堕落， 诱惑； 使反常
adduce|引证， 举出
audition|听； 听力； 试听
fertilization|受精
kernel|核， 仁
stingy|吝啬的， 小气的
anode|阳极； 正极
excavate|挖掘， 开凿； 挖洞
subtle|敏锐的； 精细的， 微妙的
unsavoury|声名狼藉的， 寡廉鲜耻的； 难吃的
component|组成的， 构成的 n. 成分
impartial|公平的， 不偏不倚的
consultant|会诊医师， 顾问医生； 顾问
indisputable|无争论之余地的， 明白的
disguise|装扮，假扮 n. 伪装物，化装用具；伪装
facet|方面；  刻面
rationalize|合理化
novel|新奇的， 新颖的 n. 小说
prominence|突出， 显著
liberal|慷慨的， 大方的； 丰富的， 富足的； 自由的， 思想开明的
genial|亲切的
epitome|摘要； 象征
obdurate|冷酷无情的； 顽固的， 执拗的
orthodoxy|正统
imitate|模仿， 仿效； 仿造， 伪造
dominate|支配， 统治， 控制； 占优势
rearrange|再排列， 重新整理
impalpable|感触不到的， 摸不到的
exceed|超过， 胜过
torpid|麻木的； 迟钝的；  冬眠的
avert|防止， 避免； 转移
callous|无情的； 冷淡的； 硬结的； 起老茧的
grievance|委屈， 冤情， 不平
claimant|要求者； 原告
area|面积
monarchy|君主制
vicious|恶毒的， 凶残的， 邪恶的
visibility|可见度
tractable|易驾驭的， 驯良的； 易处理的
determinate|确定的
enormous|巨大的， 庞大的
sloth|怠惰
sleight|技巧， 手法
wiry|金属丝般的； 瘦长结实的
external|外部的， 外面的
remunerate|酬劳
aspirant|上进的； 有野心的 n. 有抱负者，有野心者
paramount|最重要的
salutation|招呼
agility|敏捷， 活泼
outgoing|即将离职的； 对人友好的
deleterious|有害的， 有毒的
sociable|好交际的， 友善的； 喜欢群居的
semiconductor|半导体
obsolete|已废弃的， 过时的
instrument|仪器
gasoline|汽油
medium|介质
inhospitable|冷淡的， 不好客的；  不适合居住的，  荒凉的
hormone|荷尔蒙
pyromania|放火癖， 放火狂
eloquence|雄辩， 口才
outstrip|超过
engender|使发生， 使产生， 引起， 造成
vegetal|植物的； 植物性的
inkling|暗示； 迹象
audacious|大胆的； 鲁莽的
perform|履行， 执行， 做； 表演， 演出
retrospective|回顾的
knavery|流氓行为
germane|有密切关系的； 恰当的
evolution|进化， 演变， 演化
peak|峰值
lucrative|赚钱的， 获利的
quietus|解脱， 死；  偿清， 义务解除
pastoral|田园生活的
redemption|赎回， 偿还
weightlessness|失重
complaint|诉苦， 抱怨
pinnacle|山顶； 顶点； 尖顶
pediatrics|小儿科
animadvert|批判， 非难
analyst|分析家； 分解者
inject|注射， 注入
hectic|发烧的， 发热的； 兴奋的
copious|丰富的， 大量的
inception|起初
focus|焦点
hamper|妨碍， 阻碍
exterminate|消除
pea|豌豆
pictograph|统计图表
overshadow|遮蔽； 使…失色
unconscionable|不合理的； 过度的
anachronism|不合时代的人或事； 过时现象
assiduity|勤勉， 刻苦
decisive|决定性的
thesis|论文； 论题； 论点
precursor|先驱
cameo|刻有浮雕的宝石或贝壳
revive|恢复；  复苏
fumigate|熏蒸
explicate|解释， 说明；  阐明， 分析， 引申， 发展
arid|无趣的； 贫瘠的
period|周期
amorphous|无定形的； 非结晶的
proceed|进行， 开始， 着手； 出发； 继续进行； 发生， 出自
introspect|内省， 内观
interpolate|篡改； 插入
dismiss|使退去， 让离开， 打发走； 免职， 解雇， 解散， 开除  ； 消除  ； 不考虑
verisimilitude|逼真的事物
intelligence|智力， 聪明； 理解力； 情报， 消息， 报导
utilitarian|功利的； 功利主义的
automaton|自动机器； 机器人
analyze|分析， 分解
dishevel|使蓬乱； 使头发蓬松； 使衣服弄皱； 弄乱
bulk|体积，大小；大多数 vt.  使膨胀或延伸
antiquary|古文物研究者， 收集古文物者， 古董商
despair|对…绝望 n. 绝望
champion|冠军； 战士
stoic|坚忍克己的人；不以苦乐为意的人
dispensation|分配； 豁免
circuit|电路
restrict|限制， 约束
avuncular|伯父的； 伯父似的
conduit|导管
instant|立即的，直接的；紧迫的；速溶的，方便的 n.  瞬间， 即刻
waif|流浪者
antiquate|使成为过时而淘汰， 因陈旧而废弃
native|本地的； 与生俱来的
legislate|制定法律， 通过立法
prolix|冗长的； 说话嗦的
accolade|赞美
imperative|强制的；必要的；紧急的 n.  必要的事， 必须完成的事； 祈使语气
piecemeal|逐渐的
linear|线的， 直线的， 线状的； 线性的
robust|强壮的， 健康的
dominant|支配的， 统治的， 占优势的
devalue|贬值
iron|Fe	 n.  铁
electrification|起电
inconsistent|不一致的； 不协调的； 矛盾
scribble|潦草的笔迹
denounce|谴责， 公开指责， 公然抨击； 告发某人
jaded|疲倦不堪的； 厌倦的
humbug|欺骗
caucus|领导人秘密会议； 核心小组会议
ineffectual|无效的； 不成功的
microorganism|微生物
disfigure|损伤外貌， 使变丑
entity|实体， 存在物
chronicle|编年史
prohibit|禁止， 不准， 阻止
asperity|严酷； 粗暴； 刻薄
frugal|节俭的， 朴素的
bacteria|细菌
replica|复制品
carouse|痛饮， 狂饮欢闹
assessor|估价员，  审核员； 估税员
reign|统治， 支配
comestibles|食物
alkaloid|生物碱
rationalism|理性主义， 唯理论
servile|奴隶的； 卑屈的
scrupulous|小心谨慎的， 细心的
buttress|扶壁；支持物 vt.  支持，  扶住
kidney|肾
aphorism|格言， 警语， 谚语
detract|转移
rowdy|无赖， 凶暴的人
brazier|火盆； 黄铜匠
stock|备料， 库存， 现货； 股票， 公债； 砧木
verification|确认， 查证
suspend|吊， 悬挂； 推迟； 暂停
baldness|秃头
distraught|发狂的
misbehave|行为不礼貌； 行为不端
vociferous|大声叫的， 喊叫的； 喧嚷的
ritual|典礼的，  仪式的 n. 典礼，仪式；礼节
quarrelsome|喜欢吵架的， 好争论的
voluble|易旋转的； 流利的， 健谈的
belittle|轻视； 使…显得渺小
indiscriminate|不加分析的， 不加选择的
affected|假装的， 做作的
resolute|坚决的， 果断的
senator|参议员
impugn|质疑
tempt|诱惑， 引诱； 吸引， 使感兴趣
votive|奉献的
reciprocate|互给； 回报； 报答
agape|张口发呆的， 目瞪口呆的
inveterate|根深蒂固的； 积习的
absolve|免除
seclusion|隔离
denominate|命名
complication|复杂化；  因素； 【医】 并发症
procrastinate|延迟， 耽搁
ether|以太
nuance|细微差别
abdomen|腹， 腹部
embattle|备战
latency|潜伏， 潜在； 潜伏物
accost|对…说话， 搭话
afoot|徒步的； 进行中的
acquittal|宣判无罪
grievous|令人忧伤的
pursue|追赶， 追踪； 继续； 从事
vulgar|粗俗的， 庸俗的； 普通的， 通俗的
catastrophe|大灾难， 大祸
convey|运送， 搬运； 传达， 表达
redeem|赎回， 挽回； 恢复， 补偿； 兑换
rationality|合理性
conformity|一致， 符合
monogamy|一夫一妻制
hysterical|情绪异常激动的， 歇斯底里的
cholera|【医】 霍乱
torpor|麻痹； 迟钝
allude|暗指， 影射， 间接提到
ante-room|接待室， 前厅
chagrin|懊恼； 气愤； 委屈
custodian|管理人； 保管人
forfeit|没收， 丧失
euphemism|委婉的说法
choral|合唱队的
consecutive|连续的
assimilation|同化； 同化作用
burning|燃烧
dexterity|灵巧， 机敏
quotient|商
encyclopedia|百科全书
renunciation|放弃， 弃权； 脱离关系
plunder|抢劫
drainage|排水， 排水装置
cilia|纤毛
indecipherable|破译不出的， 难领悟的
bigamy|重婚； 重婚罪
immigrate|移居入境
aluminum|铝
apparatus|器械， 设备， 仪器， 装置
proscribe|禁止
decay|（使）腐烂；（使）变坏 n. 腐烂，朽烂
induct|感应
fracture|断裂，  折断 n. 裂缝，裂痕；骨折
figurine|小雕像
liberty|自由； 冒失， 冒昧， 失礼
rendezvous|约会； 约会地点
camaraderie|同志之爱； 友情
apprentice|学徒； 初学者
marsh|湿地， 沼泽， 沼泽地
anthropology|人类学
chaos|混乱； 混沌
absorption|吸收
abundant|丰富的， 充分的， 充裕的
pigment|色素； 颜料
forecast|预测，预报 v. 预测，预报
deteriorate|恶化，  变坏
input|〔输入计算机的〕信息 v. 把〔资料〕输入〔计算机〕
induce|劝诱； 促使； 引起， 导致； 感应
bisect|把…二等分
thoroughbred|纯种的， 良种的
abnormal|反常的， 不正常的
wane|变小， 衰落
volt|伏特
satirize|讽刺
shrewd|敏捷的， 机灵的， 精明的， 伶俐的
difference|差； 差额
baffle|困惑； 阻碍； 为难
extricate|救出； 使脱离
molecule|分子
circle|圆
reminiscent|回忆往事的
butt|以头低撞， 碰撞 n. 粗大的一端；笑柄
safeguard|维护，保护，捍卫 n.  安全装置， 安全措施
diligent|勤奋的， 刻苦的
sophisticated|尖端的， 复杂的， 先进的； 老练的， 老于世故的
anomaly|不规则， 异常的人或物
equivocal|意义不明确的； 模棱两可的； 可疑的
prehensile|适于抓住的
scrutiny|详细审查
realism|现实主义
archaic|古老的； 古代的； 陈旧的
ravine|沟壑； 峡谷
inalienable|不能让与的， 不可剥夺的
quadrilateral|四边形
chasm|深坑， 裂口
butane|丁烷
reprobate|非难
digestion|消化
putrid|腐烂的； 非常讨厌的
inclement|险恶的； 严酷的
enlist|征募， 征召， 参军
latest|最近的
validate|使有效， 使有法律效力； 批准； 确认
guileless|坦率的
a.|灵巧的， 熟练的	 n.  灵巧， 机敏
inhibit|阻止， 妨碍， 抑制
disclose|泄露； 揭发； 解开
unspeakable|无法形容的， 不能以言语表达的
disparate|全异的
clientele|诉讼委托人， 客户
dilapidate|荒废，  毁坏
defiant|挑战的， 挑衅的， 目中无人的
powerless|无能力的
oxide|氧化物
perusal|熟读， 精读
arbor|树阴处，  藤架， 凉亭
antagonize|敌对；  对抗
chart|图表
evoke|唤起， 引起， 使人想起
preface|序言， 引言， 前言
antagonism|对抗； 敌对
antagonist|敌手， 对手
incite|激动， 煽动
neutron|中子
mediocrity|平凡； 平庸之才
interpose|插入
inexcusable|无法辩解的， 不可宽赦的
immense|广大的， 巨大的
vacate|腾出； 空出， 离 ， 退
inherent|固有的， 内在的， 天生的
advantageous|有利的
encroach|侵占， 蚕食； 超出通常  界线
facsimile|复制品， 摹本
definite|明确的， 肯定的， 一定的
wary|机警的
weight|重量
intrinsic|固有的， 本质的， 内在的
dissemble|掩饰
guilty|犯罪的， 有罪的； 自觉有罪的， 内疚的， 心虚的
median|中点； 中线
vestige|退化器官； 残余
kleptomaniac|有盗窃癖的人
proximity|接近， 近似
maritime|海上的； 海事的， 海运的； 海员的
injurious|有害的
quibble|谬论； 双关话； 俏皮话； 吹毛求疵的意见
plural|复数的 n.  复数
prank|胡闹， 开玩笑， 恶作剧
bullock|阉牛； 一岁半以下的小公牛
heartrending|悲惨的； 令人心碎的
ceremonial|仪式的； 礼仪的 n. 仪式
ozone|臭氧
wave|波
squabble|争论
rustic|乡村的
distend|扩大； 膨胀
tipsy|喝醉的
lave|为…沐浴； 洗
prudent|谨慎的， 深谋远虑的
autocrat|独裁者
cower|畏缩， 退缩
attenuate|稀释
juxtapose|并置， 并列
loathe|厌恶， 憎恶
rotation|转动
temerity|鲁莽； 冒失
intruder|入侵者
infinitesimal|无穷小的，极小的 n.  极小量， 极微量， 无限小
volatile|挥发性的； 易变的； 不稳定的
contentious|好争吵的； 争论的， 有异议的
communicative|爱说话的， 畅谈的
generic|一般的， 普通的
endorse|在  背面签名； 签注 ； 认可
clarity|清楚， 透明
laud|称赞， 赞美； 颂歌
seclude|隐居， 与世隔绝
heinous|可憎的， 极恶的
typical|典型的， 象征性的
embargo|禁止  出入港口， 禁止通商， 禁运
quotation|引用语
watt|瓦特
nocturnal|夜的， 夜间发生的
corrosion|腐蚀
vortex|旋涡， 旋风， 涡流；  的中心
notorious|臭名昭著的， 声名狼藉的
accusatory|非难的， 控诉的， 指责的
verisimilar|好像真实的
aggravation|加重， 恶化； 恼怒
hydrogen|氢
outstretch|伸出， 伸展
prate|唠叨； 闲聊
artifact|人工制品
hypotenuse|直角三角形的斜边
aviary|大型鸟舍； 鸟类饲养场
pedal|踩踏板； 骑自行车 n. 踏板
endemic|风土的； 地方的 n. 地方病
nugatory|无价值的； 无效的
insightful|洞察力强的
ambulance|救护车
extraction|萃取
philosophy|哲学
slope|斜率
blatant|明显的； 明目张胆的； 厚颜无耻的
pungent|辣的；  有刺激性的
lapse|终止， 失效； 陷入  …状态 n. 失误，疏忽；行为有失检点，失足；流逝，间隔
perfunctory|马虎的； 敷衍的
latent|潜在的， 潜伏的， 不易察觉的
quandary|困惑， 窘境， 进退两难
regenerate|使再生； 重建
light|光
nauseate|产生恶感， 厌恶； 作呕
corporal|肉体的； 身体的
stanza|诗的一节
diode|二级管
impute|归罪于， 归咎于， 归因于
indomitable|不屈服的， 不屈不挠的
acidify|使酸化， 使成酸性
antibiotics|抗生素
muddle|混合
jocund|欢乐的， 高兴的
ponderous|笨重的； 冗长的， 沉重的； 呆板的
infection|感染
stubborn|顽固的， 倔强的； 难对付的， 难以克服的
actuate|开动， 促使
emigrate|迁居
triangle|三角形
sinuous|蜿蜒的； 曲折的
alien|外国的； 相异的； 不相容的 n. 外侨；外星人
bucolic|牧羊的； 牧歌的； 田园风味的
attest|证明
cavil|吹毛求疵， 挑剔； 指责
berate|严厉指责； 申斥
profligate|放荡的， 荒淫的； 挥霍浪费的
lexicon|词典
predatory|掠夺的； 食肉的
deficient|不足的， 缺乏的， 欠缺的
impropriety|不适当的行为； 不适当
yip|犬吠； 叫喊
barrel|桶； 枪管， 炮管
unify|统一， 使成一体
sapiential|明智的
rookie|新手
ravage|毁坏， 掠夺
barren|贫瘠的， 荒芜的； 不结果实的， 不  育的； 无益的， 没有结果的
garrulous|饶舌的， 多嘴的
accompanist|伴奏者
fungi|真菌
grandiose|宏伟的； 冠冕堂皇的， 浮夸的
permanent|永久的， 持久的
foster|收养的， 收养孩子的 vt. 收养，养育；领养；培养，促进
tricycle|三轮车
facility|设施；设备；容易；灵巧
gregarious|社交的； 群居的
hydrolysis|水解作用
beam|光束
peevish|易怒的， 暴躁的
gallant|英勇的， 豪侠的
inalterable|不能变更的， 不变的
visage|面貌， 容貌
solidification|凝固
perspire|出汗， 流汗
emulate|仿效； 超越
assonant|谐韵的
synthesize|综合； 合成
irascible|易怒的， 暴躁的
sanguineous|血的
peremptory|断然的； 专横的； 强制的
circumlocution|婉转曲折的陈述
vindictive|报复性的
playwright|剧作家
interrupt|中断， 阻碍； 打断 ， 打扰
emphasis|强调， 重点
beau|好打扮者； 花花公子； 男朋友
feasible|可行的， 切实可行的
unassuming|谦逊的； 不装腔作势的
forebode|预示， 预言， 预兆
prepossess|使先有好感， 使偏爱； 预先拥有
potential|潜在的，可能的；势的，位的 n.  潜能， 潜力
volant|会飞的； 迅速的， 敏捷的
actuary|保险进算师， 保险  计算员
gross|总的， 毛的
vigilant|警惕着的， 警醒的
tact|机智， 老练
bereave|剥夺， 使失去
epicure|美食家
allotment|分配
archive|档案馆 vt.  存档
valorous|勇敢的， 无畏的
stimulate|刺激， 使兴奋； 激励， 鼓舞
eclipse|日食， 月食
square|正方形
counteract|抵消， 中和； 阻碍
animosity|仇恨， 憎恶
debilitate|使衰弱， 使虚弱
interference|干涉
commute|交换； 减刑； 通勤
altitude|高度， 海拔
riddance|摆脱； 解除
classify|分类， 分等
nadir|天底； 最低点； 深渊
composure|镇静， 沉着
beck|点头示意； 招手示意
convergence|集中
stipend|薪金， 定期生活津贴
allusion|典故， 引用典故； 暗示
sacrosanct|不可侵犯的； 极神圣的
point|小数点
beguile|诱骗； 诱惑
debut|初次登台
forerun|预示； 跑在…之前
prehension|抓住； 理解
evanescent|易消散的； 会凋零的
stripling|年轻人
uphold|支持， 赞成； 举起； 坚持
alias|别名， 化名
dimension|尺寸， 尺度； 维  ； 度  ， 元
nostalgia|思家病， 乡愁； 向往过去, 怀旧之情
obtrusive|突出的； 强迫的； 引人注意的
alternative|选择性的， 两者择一的 n. 两者择一，可供选择的办法
workmanship|手艺， 技艺， 技巧
encounter|遇到，遭遇〔尤指问题或反对〕 n. 相遇，邂逅
soda|苏打
empathetic|移情作用的， 感情移入的
lassitude|疲乏； 没精打采
agrarian|有关土地的， 耕地的
extrovert|性格外向者
mean|表示…的意思；意指；意味着；意欲，打算；注定；怀有特定用意；具有意义 adj. 低劣的，卑鄙的；平庸的；没有价值的；难看的，破旧的；吝啬的；中等的；平均的；中项的 n.  平均 ， 中数
pedestrian|徒步的； 呆板的； 平庸的 n. 步行者
appall|使惊骇， 使大吃一惊， 使恐怖
radioactive|放射性的， 放射引起的
repulse|拒绝， 排斥； 憎恶
hoarse|嘶哑的
rectitude|正直； 公正
tenable|守得住的， 可防守的；  站得住脚的；  有条理的
stimulant|刺激物
vivacity|活泼
appreciate|感谢， 感激； 正确评价， 欣赏， 赏识
undersize|较一般为小的， 不够大的
qualitative|性质上的， 定性的
diverse|多种多样的， 不同的， 变化多的
murderous|行凶的， 凶恶的； 非常危险的
fictitious|小说中的， 假想的； 假装的； 虚伪的
intellect|智力
preoccupy|使全神贯注， 迷住
preference|偏爱， 喜爱； 优惠； 优先选择
mainstream|主流
enthusiast|热情者， 热衷者
apotheosis|尊为神， 神话； 典范
temperate|grassland	 温带草原，温带草地
alchemy|炼金术
distort|弄歪  ； 扭曲， 歪曲
litigious|好诉讼的； 好争论的
population|种群
discern|认出， 发现； 辨别， 识别； 看清楚
cancellation|约掉； 消掉
flexible|柔韧的， 易弯曲的， 灵活的
diurnal|日间的
transience|短暂
overstride|跨过， 超过， 越过
timorous|胆小的
agile|敏捷的， 轻快的； 灵活的
corpse|尸体
phonic|声音的； 有声的
intoxicate|使陶醉； 使中毒
replenish|补充
amenable|顺从的， 服从劝导的
mirror|镜
edify|启发； 教化
perennial|四季不断的， 终年的
sustainable|可维持的
inflammatory|煽动性的
liquor|酒， 烈性酒
catabolism|分解代谢
characteristic|特有的， 表示特性的； 典型的
secede|脱离， 分离
rouse|惊起； 唤起， 唤醒
boorish|粗野的， 粗鄙的
reprehend|责备
disparity|不同， 不等； 不一致
affix|使附于， 黏贴
saccharine|糖  的， 似糖的； 产糖的， 含糖的
replicate|复制
desultory|散漫的， 不连贯的
parsimonious|吝啬的； 过于俭省的
assemble|集合， 集会； 装配， 组装
noticeable|显而易见的， 值得注意的
transition|转变， 过渡
atonement|赎罪， 弥补过失
chivalry|骑士精神； 骑士制度
repel|击退； 抵制， 拒绝， 排斥
underscore|画线于…下； 强调
series|系列
timidity|胆小， 羞怯， 怯懦
imaginative|富有想象力的， 想象的； 幻想的， 虚构的
serum|血清
blase|不感兴趣的； 厌倦的
celebrity|名声
archaeologist|考古学家
accountant|会计人员， 会计师
malignancy|恶意
apathetic|缺乏兴趣的， 缺乏感情的； 无动于衷的
inborn|天生的， 生来的， 先天的
inconvenient|不便的， 有困难的
presentiment|预感， 不祥之感
absurd|荒唐的
blockade|封锁 n. 阻塞
purgatory|炼狱， 暂时的苦难
trait|特征， 特点， 特性
solute|溶质
serviceable|耐用的
landmark|明显的陆标， 地标； 划时代的事件； 界碑
hundredth|第一百个； 百分之一
impregnable|无法攻取的， 坚不可摧的
venerate|崇敬
vacuous|空虚的； 茫然若失的， 无所事事的
afterthought|事后的想法， 追悔
trough|波谷
blandishment|奉承， 哄诱
abed|在床上
contradictory|反对的， 矛盾的
preeminence|卓越， 杰出
succulent|多汁的， 多水分的
accompany|陪同， 伴随； 为…伴奏
obviate|消除； 排除； 预防
probity|正直； 诚实
perspicuous|明白易懂的， 清楚的
immediate|直接的； 立即的， 即刻的
excerpt|摘录， 选录， 节录
abet|教唆， 煽动； 帮助， 支持
minnow|鲤类小鱼
platitude|陈词滥调； 陈腐
subtlety|微妙， 敏锐， 细微的区别
upbraid|责备， 叱责
landlord|房东， 地主
factious|闹派别的； 好捣乱的
ingratiate|使迎合， 使讨好
introductory|引导的， 介绍的
buffoon|小丑
caitiff|卑劣的； 胆小的
apiece|每人， 每个
lurid|苍白的， 可怕的； 血红的； 耸人听闻的
preempt|预先制止； 抢在…之前做或说
hone|磨， 把…放在磨石上磨 n. 细磨刀石
cursory|仓促的， 草率的
insouciance|漫不经心， 不在乎
primp|细心打扮， 过分装饰
corroborate|使坚固； 确证
bland|温和的， 柔和的； 乏味的； 冷漠的
atone|弥补
disparage|蔑视， 贬损； 使失去信誉
yummy|美味的； 赏心悦目的
bursar|会计
outlast|比…长久， 比…活得长
utopian|乌托邦的， 理想化的
tangible|确实的， 触摸得到的， 具体的
impend|即将发生
pious|虔诚的
congest|使充满， 使拥塞
mordent|【音】 波音
witticism|妙语； 俏皮话
approximately|近似地， 大约地
diplomat|外交官
monocracy|独裁政治
incubus|梦魇； 沉重的负担
hut|小屋， 棚屋
artifice|巧办法； 欺骗
collaborate|协作， 合作
superficial|表面的； 肤浅的， 浅薄的
opprobrium|耻辱； 责骂
mirage|海市蜃楼； 幻想
impasse|僵局
subterranean|地下的
lacerate|割裂
demolition|毁坏
displacement|位移
oration|演说
casualty|伤亡事故； 人员伤亡
whimsical|异想天开的； 反复无常的
prism|棱镜
penury|贫困， 贫穷
cartographer|地图制作者
valedictory|告别的 n.  告别词
idolatry|偶像崇拜； 盲目崇拜
studious|好学的； 刻苦的， 勤奋的
ridicule|嘲笑， 奚落
propulsion|推进力
butte|孤山， 孤峰
sensitive|敏感的； 灵敏的
scintillate|发出火花
singe|烧焦， 烤焦
irate|生气的， 发怒的
impression|印象， 感想； 盖印， 压痕
inequity|不公平， 不公正
appease|平息； 安抚， 缓和； 满足
impede|妨碍， 阻碍， 阻止
volitive|意志的， 表示祈望或准许的
pepsin|胃蛋白酶
shield|保护， 防护， 遮蔽 n.  防护物， 护罩， 盾， 盾状物
statuesque|雕像般的； 庄严而优雅的
anatomy|解剖学； 解剖结构
gratuity|赠物， 赏钱
credo|信条
instantaneous|瞬间的， 即刻的
phenomenon|现象
writhe|扭曲， 扭歪； 翻腾
quarterly|每季一次 adj. 每季的 n.  季刊
zephyr|西风； 微风
alienable|可让与的
abbey|大修道院； 大教堂
sensibility|敏感性
bibliography|书目； 参考书目
buoyant|有浮力的； 轻快的
chloroplast|叶绿体
intrepid|无畏的； 勇猛的
travail|辛苦； 苦役； 工作
dullard|傻瓜
generalize|推广
accredit|信任
condenser|冷凝器
paradoxical|似非而是的； 自相矛盾的
dissever|割裂； 分开
postdate|推迟…的日期
subdue|征服； 抑制
positive|确实的，明确的；积极的，肯定的；正的，阳性的；十足的，完全的 n.   正片
trigger|引发，导致 n.  扳机
culmination|顶点
meticulous|小心翼翼的
recriminate|反责， 反唇相讥
jubilation|庆祝
radar|雷达
withhold|拒绝， 不给
presumptuous|自以为是的； 专横的
twinge|阵痛， 刺痛， 剧痛
refugee|难民， 流亡者
kinetic|动学， 动力  的
rotate|旋转
bowler|玩保龄球的人；  投手
instance|例子， 事例， 例证
spartan|斯巴达人； 强悍勇敢、 结实强壮的人
inconsequential|不合逻辑的； 不合理的
inheritance|遗传
convoluted|旋绕的； 费解的
laconic|简洁的， 简明的
embitter|使有苦味； 使受苦， 使难受； 使怨恨
reptile|爬行动物
integer|整数
tantalize|挑逗， 惹弄
receptive|善于接受的， 能接纳的
heterogeneous|不同种类的
astound|使惊骇， 使大吃一惊
solution|溶解
extrude|突出， 伸出
opponent|对立的， 对抗的 n. 对手，反对者，敌手
supplementary|增补的， 补充的
accelerate|加速； 促进
spate|大水； 大量
emblem|象征， 徽章， 符号
sophism|诡辩； 谬论
wavelength|波长
clutter|混乱， 喧嚣
meteorology|气象学
divisible|可整除的
canonical|规范的； 权威的
nomad|游牧民； 流浪者
abrade|磨损， 摩擦； 折磨
convenient|方便的； 便利的
vernal|春天的
populous|人口多的， 人口稠密的
curtail|缩减， 减少
exhume|掘出； 发掘
nexus|连结
transgression|侵越， 超过； 违背； 犯罪； 犯规
abundance|丰富， 充裕
quantum|量子
peerless|无匹敌的， 无比的， 无双的， 绝世的
suasion|说服； 劝告
competitor|竞争者
magnitude|大小， 数量； 巨大， 广大； 重要性， 重要程度
agitate|鼓动， 搅动； 搅拌； 使激动， 使不安
insulator|绝缘体
nebulous|星云的， 云雾状的； 模糊的， 朦胧的
prescript|作为条例指定的， 指定的
immune|免疫的， 有免疫力的； 不受影响的； 免除的， 豁免的
equation|等式， 方程式
stern|严厉的，苛刻的；严峻的，难对付的 n.  船尾， 舟尾
rotary|旋转的
brandish|挥舞； 炫耀
compound|化合物
volition|意志
discredit|不信； 使成为不可信； 败坏…的声誉 n. 丧失信用；怀疑，不信任
badger|烦扰； 吵着要 n. 獾；獾皮毛
underlie|成为…的基础
extraordinary|非常的， 格外的
yearling|一岁家禽
gnash|咬牙切齿
flagella|鞭毛
attraction|引力
conventional|惯例的， 常规的； 习俗的， 传统的
complicate|变复杂
hypocrisy|伪善； 虚伪
relent|变温和； 减弱， 缓和
simplify|单一化， 简单化
hypocrite|伪君子
sedulous|勤勉的
credible|可信的
intentional|有意图的， 故意的
insensate|没有感觉的
blockbuster|风靡一时之物；  巨型炸弹
solder|焊接 n. 焊料
bungle|办糟
negligible|可以忽略的， 微不足道的
misstep|失足
temporal|时间的
pentagon|五边形
proton|质子
setback|挫折， 阻碍
brokerage|经纪人之业务； 回扣
pointer|指针
hydroxide|氢氧化物
primordial|原始的， 初发的
habitude|习俗
vitamin|维生素
dissimilar|不同的
elongate|拉长
enthusiastic|热情的， 热心的
fray|磨损
wield|支配， 掌权
disastrous|灾难性的， 悲惨的
impulse|冲量
remonstrance|抗议
chastity|纯洁； 贞节； 简洁
prominent|突起的， 凸起的； 杰出的， 著名的； 显著的
insulin|胰岛素
ironic|讽刺的， 反讽的
permeable|有浸透性的， 能透过的
pedagogue|教师； 喜欢卖弄学问的教师
pusillanimous|懦弱的， 胆小的， 优柔寡断的
fundamental|基础的，基本的 n.  基本原则， 基本原理
global|全球的， 世界的； 球状的， 球面的； 总括的， 普遍的， 综合的， 全局的
promulgate|发布； 传播
counselor|顾问； 律师
excess|过量的，额外的 n.  过量， 过剩
temperature|温度
perspective|透视画法， 透视图； 远景， 前途； 观点， 看法
retaliate|报复
tactician|有谋略的人
equality|等式
